"Date","Alcohol","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","End.of.Night","Rise.Time","Morning.Feel"
"2013-07-28","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-07-29","TRUE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-07-29","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-07-30","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-07-31","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-08-01","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-08-02","TRUE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-08-02","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-08-03","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-08-04","FALSE",75,450,16,18,99,307,44,6,1350,"08/05/2013 03:35",,2
"2013-08-04","TRUE",75,450,16,18,99,307,44,6,1350,"08/05/2013 03:35",,2
"2013-08-05","FALSE",87,491,24,12,130,302,59,6,1320,"08/06/2013 03:53","08/06/2013 03:45",3
"2013-08-06","FALSE",97,535,16,23,205,269,62,9,1395,"08/07/2013 05:53","08/07/2013 05:30",4
"2013-08-07","FALSE",91,510,8,23,161,288,62,7,1445,"08/08/2013 06:11","08/08/2013 06:00",3
"2013-08-08","FALSE",97,530,18,19,177,287,66,6,1430,"08/09/2013 06:20","08/09/2013 05:55",3
"2013-08-09","FALSE",106,575,20,8,182,324,70,5,1375,"08/10/2013 06:02","08/10/2013 06:05",3
"2013-08-10","FALSE",90,479,20,16,141,268,70,3,1410,"08/11/2013 05:49","08/11/2013 05:35",2
"2013-08-11","FALSE",101,566,21,12,172,332,62,6,1410,"08/12/2013 06:32","08/12/2013 06:35",3
"2013-08-11","TRUE",101,566,21,12,172,332,62,6,1410,"08/12/2013 06:32","08/12/2013 06:35",3
"2013-08-12","FALSE",89,466,7,9,126,256,85,6,1455,"08/13/2013 05:19","08/13/2013 05:20",3
"2013-08-12","TRUE",89,466,7,9,126,256,85,6,1455,"08/13/2013 05:19","08/13/2013 05:20",3
"2013-08-13","FALSE",96,536,11,20,172,298,66,9,1380,"08/14/2013 05:48","08/14/2013 05:30",3
"2013-08-14","FALSE",90,474,16,11,176,228,70,6,1490,"08/15/2013 06:58","08/15/2013 07:00",3
"2013-08-15","FALSE",97,526,17,20,201,255,71,10,1440,"08/16/2013 06:28","08/16/2013 06:20",4
"2013-08-16","TRUE",94,536,22,37,163,301,73,11,1445,"08/17/2013 07:09","08/17/2013 06:50",2
"2013-08-16","FALSE",94,536,22,37,163,301,73,11,1445,"08/17/2013 07:09","08/17/2013 06:50",2
"2013-08-17","FALSE",93,543,24,35,149,324,71,12,1420,"08/18/2013 06:47","08/18/2013 06:50",3
"2013-08-18","FALSE",94,522,28,24,171,286,66,7,1440,"08/19/2013 06:48","08/19/2013 06:20",3
"2013-08-19","FALSE",87,503,18,41,129,300,74,10,1460,"08/20/2013 07:06","08/20/2013 06:50",2
"2013-08-20","FALSE",86,499,19,34,158,271,70,14,1445,"08/21/2013 06:22","08/21/2013 06:10",3
"2013-08-21","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-08-22","FALSE",17,97,1,3,55,41,2,2,1220,"08/22/2013 07:04","08/22/2013 07:00",0
"2013-08-22","FALSE",75,425,30,54,125,243,58,5,1465,"08/23/2013 05:57","08/23/2013 05:40",1
"2013-08-23","FALSE",77,389,12,12,118,193,79,5,1440,"08/24/2013 05:41","08/24/2013 05:45",3
"2013-08-24","FALSE",92,495,16,13,174,255,66,6,1430,"08/25/2013 05:44","08/25/2013 05:35",2
"2013-08-24","TRUE",92,495,16,13,174,255,66,6,1430,"08/25/2013 05:44","08/25/2013 05:35",2
"2013-08-25","TRUE",110,563,6,10,187,280,96,4,1390,"08/26/2013 05:54","08/26/2013 05:50",3
"2013-08-25","FALSE",110,563,6,10,187,280,96,4,1390,"08/26/2013 05:54","08/26/2013 05:50",3
"2013-08-26","FALSE",97,508,26,5,176,262,70,4,1430,"08/27/2013 05:55","08/27/2013 05:40",3
"2013-08-27","FALSE",110,589,5,7,195,317,77,6,1435,"08/28/2013 07:01","08/28/2013 06:55",3
