"ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","Morning.Feel"
102,551,20,8,176,307,69,5,1425,3
85,497,26,20,154,301,43,7,1430,3
103,549,23,14,207,267,75,7,1455,3
86,488,14,31,170,260,59,10,1440,3
98,526,14,2,182,290,54,2,1465,3
85,470,17,7,134,281,55,4,1475,3
94,502,16,8,172,265,66,5,1460,3
95,508,14,8,172,273,64,4,1450,4
82,426,13,5,138,228,60,1,1520,3
105,531,12,5,177,265,89,3,1395,3
70,386,15,10,97,237,53,4,1450,2
77,454,12,26,129,270,56,11,1420,2
96,523,12,21,206,247,70,11,1470,3
93,496,12,3,161,273,63,3,1435,3
88,491,11,12,169,269,53,6,1420,2
91,487,17,7,154,269,65,4,1425,3
112,604,14,7,249,296,59,6,1400,3
75,391,13,7,143,186,63,5,1420,3
96,497,13,8,185,240,72,3,1435,2
28,168,13,9,47,104,17,3,1770,2
44,236,16,9,76,129,32,2,1685,3
94,516,16,8,184,286,46,2,1430,3
99,542,12,13,195,288,59,6,1420,3
98,547,19,3,157,334,56,3,1415,3
94,512,11,8,149,293,70,5,1420,3
99,544,20,13,158,316,70,5,1400,4
99,542,16,5,167,316,59,3,1415,3
98,530,15,12,182,282,67,6,1440,3
93,530,12,18,166,302,62,10,1435,2
102,559,20,17,178,308,74,7,1425,2
89,524,31,25,162,315,47,9,1405,2
90,541,42,49,152,330,60,12,1420,1
83,493,34,51,162,278,53,10,1425,2
98,558,22,19,187,323,48,6,1435,3
91,490,16,9,154,273,64,4,1515,3
75,444,12,28,120,279,46,7,1480,NA
90,509,22,8,156,309,45,4,1450,3
107,594,14,15,190,343,62,5,1405,3
94,527,33,11,180,293,55,7,1430,3
99,548,20,6,178,315,56,4,1400,3
94,536,31,22,190,301,46,6,1395,3
95,533,25,18,173,304,56,5,1410,3
105,566,15,12,184,305,77,7,1410,3
93,511,25,4,172,289,51,4,1430,3
89,491,21,17,168,263,61,7,1445,2
96,527,28,9,189,284,55,6,1425,3
91,510,16,19,158,296,57,5,1450,2
96,531,16,11,166,305,61,5,1435,3
93,505,36,12,151,288,66,4,1430,2
101,531,14,4,160,292,80,3,1400,3
93,527,12,21,177,289,62,10,1410,3
94,534,15,16,186,297,51,8,1425,3
93,506,12,13,175,270,61,5,1440,2
115,586,5,7,178,308,101,3,1465,3
92,488,17,5,153,262,74,5,1480,3
94,523,18,7,178,289,56,8,1445,2
106,578,15,14,195,305,79,9,1430,3
98,554,17,22,167,323,64,8,1420,3
94,533,17,16,152,321,60,7,1430,3
89,506,19,30,162,289,56,7,1445,3
115,628,14,9,230,336,63,5,1390,4
93,524,21,9,158,314,52,5,1425,3
90,498,38,8,156,290,53,4,1415,3
108,620,21,28,222,336,63,12,1435,4
90,521,36,23,167,301,53,9,1445,3
111,609,19,12,198,342,69,6,1410,4
71,435,20,48,128,264,43,10,1535,2
107,514,5,1,156,251,108,0,1405,3
94,513,22,23,182,258,74,9,1465,NA
93,527,13,21,145,322,61,6,1420,3
90,500,17,38,189,248,63,9,1490,3
94,536,22,15,172,315,50,7,1460,2
99,552,16,19,169,315,69,8,1445,2
86,515,21,40,145,322,49,8,1410,2
111,583,9,7,163,331,89,3,1415,3
113,591,19,12,228,281,82,6,1415,3
92,477,18,13,144,244,89,6,1470,3
93,505,19,25,167,264,74,8,1430,3
86,488,17,22,119,309,60,5,1380,2
97,542,16,19,178,299,66,9,1405,3
88,487,17,26,156,264,67,8,1450,3
69,396,14,20,100,243,54,7,1420,2
84,483,51,20,155,283,46,6,1435,2
90,512,19,12,171,291,50,8,1490,2
112,602,8,18,173,334,95,8,1410,3
96,530,18,24,192,271,68,9,1450,3
105,580,18,28,167,327,86,9,1425,2
78,458,28,26,128,284,46,7,1470,2
87,508,29,35,136,305,67,11,1435,3
85,500,27,31,151,303,47,8,1425,2
92,523,45,29,194,280,49,8,1445,3
111,605,19,18,177,342,86,8,1420,3
88,482,32,28,165,250,67,8,1450,3
76,470,19,108,132,277,62,9,1435,3
99,561,23,31,165,326,71,9,1430,3
86,500,29,26,155,293,53,10,1445,3
76,466,22,52,157,263,47,12,1470,2
67,363,14,23,104,193,67,7,1590,3
101,567,6,34,196,298,74,12,1445,3
101,550,18,40,189,279,82,9,1435,2
82,454,40,32,154,241,59,7,1475,1
76,425,15,19,125,237,64,9,1625,3
103,579,18,22,189,322,68,9,1440,4
91,485,20,8,146,272,68,3,1430,3
100,553,14,30,181,304,69,7,1435,2
85,491,19,23,143,289,59,10,1455,3
98,548,17,22,201,280,68,11,1430,3
94,513,28,24,157,288,68,5,1425,2
99,545,14,25,206,274,66,9,1465,2
92,516,15,16,159,298,59,6,1450,3
85,480,6,29,142,283,56,5,1450,3
94,546,6,32,183,302,61,12,1435,3
92,531,8,33,149,312,70,11,1485,1
90,505,22,46,170,260,76,11,1440,2
91,491,2,8,158,271,62,4,1470,NA
94,517,18,7,176,288,53,4,1475,2
93,525,2,24,165,303,58,7,1450,3
79,467,17,30,126,289,53,9,1475,2
84,479,11,23,150,274,55,8,1510,2
93,522,22,11,173,296,53,7,1445,3
94,522,16,12,167,296,60,6,1460,3
86,493,24,15,151,290,53,8,1445,2
98,538,26,13,184,288,66,7,1470,3
86,501,13,33,168,290,44,6,1460,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,509,4,24,173,285,52,7,1445,3
84,482,14,12,155,284,44,7,1480,NA
95,534,4,20,160,322,52,3,1455,3
100,551,10,19,186,291,75,11,1440,3
92,522,10,22,162,304,57,7,1430,2
88,524,23,31,161,309,55,12,1435,3
100,545,19,21,159,307,79,6,1470,2
83,483,2,32,132,303,49,5,1430,2
101,563,13,14,189,307,67,9,1445,3
90,505,20,10,163,292,51,5,1440,3
88,551,21,34,162,353,37,12,1440,3
100,568,27,15,193,308,67,12,1425,3
86,511,23,63,157,309,46,4,1405,1
85,489,2,32,165,269,55,10,1485,3
91,524,2,16,168,311,45,6,1470,3
106,581,16,16,217,297,68,8,1445,3
91,519,38,24,163,298,59,8,1415,2
79,469,49,37,130,280,60,12,1420,1
85,481,30,23,163,270,48,6,1445,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,444,35,27,128,270,47,6,1460,2
85,472,5,25,137,270,65,6,1475,3
93,505,16,22,179,264,63,5,1455,3
100,555,19,19,195,296,64,8,1490,3
94,538,16,20,176,310,53,8,1450,3
89,550,16,60,166,330,54,13,1435,2
83,492,43,54,145,290,57,10,1440,1
81,458,75,22,139,261,59,9,1450,2
102,621,2,79,209,357,55,12,1370,2
98,558,14,11,193,310,55,9,1420,3
88,525,26,33,166,313,47,11,1410,2
94,558,13,33,173,333,53,11,1430,2
94,528,42,14,166,305,57,6,1410,3
92,522,13,32,165,294,64,8,1415,3
95,540,7,30,200,293,47,6,1440,3
103,581,2,19,191,323,68,10,1445,3
84,503,28,74,157,302,45,4,1495,3
101,572,15,23,204,318,51,6,1435,4
74,431,13,55,118,253,60,8,1425,3
90,524,1,46,155,309,60,8,1440,2
96,571,3,42,151,357,63,10,1450,3
89,573,18,42,155,371,47,17,1405,3
77,476,51,73,128,298,50,9,1435,3
78,477,25,48,132,286,60,14,1445,2
79,476,30,75,162,259,56,12,1440,2
94,542,29,41,184,293,66,13,1455,3
